Cluster,Layer,Correlation,p_value
Cluster_17,1,-0.1111111111111111,0.5735119825115527
Cluster_17,2,-0.07389162561576354,0.7086403177420715
Cluster_17,3,-0.20251778872468526,0.30135846470025585
Cluster_17,4,-0.21072796934865898,0.2817601500342116
Cluster_17,5,0.02736726874657909,0.8900529733795477
Cluster_17,6,0.12370005473453749,0.5305724838850181
Cluster_17,7,0.17733990147783252,0.3666340153024128
Cluster_17,8,0.22170521625437822,0.2568581924551579
Cluster_17,9,0.2227695675971538,0.25452275385813794
Cluster_17,10,0.19321291735084836,0.32457628908118874
Cluster_17,11,0.1718664477285167,0.38184497951675267
Cluster_17,12,0.06732348111658455,0.7335650843023231
Cluster_18,0,-0.09265453023918784,0.35432832459264196
Cluster_18,1,-0.08726014345484845,0.3831604383597078
Cluster_18,2,-0.12386167978087449,0.2148619583249545
Cluster_18,3,-0.13588878742268778,0.17325431657548512
Cluster_18,4,-0.09875007421562164,0.32342143598145257
Cluster_18,5,-0.08588610153808277,0.3907245492097271
Cluster_18,6,-0.07455449659487925,0.45644047864860093
Cluster_18,7,-0.058410917696253534,0.5597929549541949
Cluster_18,8,0.0351483315004755,0.7258027960383654
Cluster_18,9,0.0418149793188572,0.6764674765597165
Cluster_18,10,0.041696234955679916,0.6773351011643332
Cluster_18,11,-0.006870209583828465,0.9453626512498505
Cluster_18,12,-0.0177211825808382,0.8596786470966113
Cluster_19,0,-0.02639589325560099,0.7719646034533005
Cluster_19,1,0.04220892288245992,0.6429726404939222
Cluster_19,2,0.025196373063677755,0.7820626903881517
Cluster_19,3,0.011601810888547807,0.8986548355746049
Cluster_19,4,0.07364796017077041,0.41819554575793205
Cluster_19,5,0.11868800866750076,0.1910428352160575
Cluster_19,6,0.1551443938553611,0.08662847096427756
Cluster_19,7,0.18464227212340872,0.04090544243456595
Cluster_19,8,0.2246133804542699,0.012502006612266118
Cluster_19,9,0.18717029317305336,0.038174040701371446
Cluster_19,10,0.2140563129586875,0.017435887337972942
Cluster_19,11,0.21460448078832986,0.017143355747982838
Cluster_19,12,-0.10649933574957114,0.24103146006772402
Cluster_20,0,0.33498023715415026,0.11818082467219845
Cluster_20,1,0.25790513833992096,0.2347842514259735
Cluster_20,2,0.3003952569169961,0.16370505793172208
Cluster_20,3,0.3053359683794466,0.15654806135999536
Cluster_20,4,0.21541501976284588,0.32357621730698916
Cluster_20,5,0.17490118577075098,0.42475381171610027
Cluster_20,6,0.22826086956521738,0.29483984718700545
Cluster_20,7,0.2440711462450593,0.2617235917853156
Cluster_20,8,0.2717391304347826,0.20973141942466692
Cluster_20,9,0.12648221343873517,0.5652386723187266
Cluster_20,10,0.12351778656126483,0.5744611041376417
Cluster_20,11,0.022727272727272724,0.9180179452970288
Cluster_20,12,-0.01482213438735178,0.9464831976960981
Cluster_21,0,-0.14829210456346745,0.33096620913674835
Cluster_21,1,-0.0575117757813892,0.7074707674662692
Cluster_21,2,-0.022728021356906384,0.8821905547456103
Cluster_21,3,0.022266873097490893,0.8845645655291617
Cluster_21,4,-0.015876675788447647,0.917555531128705
Cluster_21,5,-0.0032280378159084437,0.9832097470304642
Cluster_21,6,-0.025494910913399334,0.8679686285962892
Cluster_21,7,-0.0028986462020402348,0.9849228302435449
Cluster_21,8,0.08900161406718994,0.5609736665844092
Cluster_21,9,0.0908462071048519,0.5528497957785325
Cluster_21,10,0.06363845979933788,0.6779163298815587
Cluster_21,11,0.10514180314673213,0.4918470794799411
Cluster_21,12,-0.09348134001579757,0.5413417449087987
Cluster_22,0,-0.21815286735532136,7.32365365952933e-05
Cluster_22,1,-0.17316728715501725,0.0017273770710744983
Cluster_22,2,-0.15421250415115448,0.005334991225094959
Cluster_22,3,-0.11752398930313043,0.03418564676570689
Cluster_22,4,-0.041703459004072505,0.45370709760510586
Cluster_22,5,0.07761138202855995,0.16275231322433573
Cluster_22,6,0.041182598360512475,0.4593708504654336
Cluster_22,7,0.04979252966983029,0.37092389607496634
Cluster_22,8,0.15974306538723718,0.003885928553750125
Cluster_22,9,0.1477520843165015,0.007629642698466194
Cluster_22,10,0.204257773582927,0.00020949640074975393
Cluster_22,11,0.21972593641305302,6.474064418265102e-05
Cluster_22,12,-0.09240592173107512,0.09630988687919728
Cluster_23,0,-0.23921683226183524,0.06804063235516081
Cluster_23,1,-0.03775569842197546,0.7764845454587176
Cluster_23,2,-0.022384570426651085,0.8663619461874437
Cluster_23,3,0.004500292226767972,0.9730143501206434
Cluster_23,4,0.13956750438340151,0.29175862766022137
Cluster_23,5,0.2245470485096435,0.08730570612960134
Cluster_23,6,0.15254237288135594,0.24874808666645123
Cluster_23,7,0.1936294564582116,0.14171884612037874
Cluster_23,8,0.13459964932787843,0.30944231885465195
Cluster_23,9,0.14330800701344246,0.27888904498269795
Cluster_23,10,0.2066627703097604,0.11631073418470998
Cluster_23,11,0.2251899473991818,0.08638015652402699
Cluster_23,12,0.056165984804208084,0.6726438745823238
Cluster_24,0,-0.2241732513901083,0.0089543829934167
Cluster_24,1,-0.2366891035020974,0.005711638882895496
Cluster_24,2,-0.22093454297141749,0.01002228172518553
Cluster_24,3,-0.21476929080089752,0.012368566618760271
Cluster_24,4,-0.17835333138230416,0.03848674121283283
Cluster_24,5,-0.08593307969954153,0.32168451905238726
Cluster_24,6,-0.14043995707735832,0.10423638546820921
Cluster_24,7,-0.07837284167398303,0.366242987547135
Cluster_24,8,0.12937274412252464,0.1347866559965423
Cluster_24,9,0.12260267290996002,0.15659461254545215
Cluster_24,10,0.1268510389230319,0.14262110656218555
Cluster_24,11,0.14479562969466395,0.09382223798521735
Cluster_24,12,-0.20049263486489124,0.01972289118650742
Cluster_25,0,-0.17970150076738564,9.430063382489893e-05
Cluster_25,1,-0.18402833989493428,6.32234129402215e-05
Cluster_25,2,-0.1624704940040706,0.000423393304674677
Cluster_25,3,-0.15396751224011337,0.0008430010609324861
Cluster_25,4,-0.07142200696620746,0.1232498480045986
Cluster_25,5,-0.06081976063411764,0.18951384792380932
Cluster_25,6,-0.07782702022255009,0.09297724264365309
Cluster_25,7,-0.11824808436364254,0.01054297125795008
