Cluster,Layer,Correlation,p_value
Cluster_16,3,-0.017751909376784895,0.6232901333723688
Cluster_16,4,0.0003229252695493849,0.9928713224735174
Cluster_16,5,0.04638184388567262,0.19915288291514804
Cluster_16,6,0.050390196841826634,0.16299598283701097
Cluster_16,7,0.04686211243975757,0.19453541682168424
Cluster_16,8,0.03647648873897132,0.3127082680441324
Cluster_16,9,0.026119515052870707,0.4698091992597351
Cluster_16,10,0.03362983228674794,0.35199713153331846
Cluster_16,11,0.03935252370833419,0.2760592119419817
Cluster_16,12,-0.03678325449954408,0.30865342933979023
Cluster_17,0,-0.16035559383555326,0.22919043787322585
Cluster_17,1,-0.14460610907748625,0.2788003000927076
Cluster_17,2,-0.09957242609738842,0.4570795649541277
Cluster_17,3,-0.13716201667230615,0.30455336049890014
Cluster_17,4,-0.11889015349595496,0.37406299317035985
Cluster_17,5,0.008889845888830785,0.9471943031670383
Cluster_17,6,-0.0317758159278969,0.8128203471875227
Cluster_17,7,-0.026484973391983763,0.8435557848660891
Cluster_17,8,0.0708419206988834,0.5971966882634205
Cluster_17,9,0.12959488141745362,0.3322574123282934
Cluster_17,10,0.08892921960072596,0.5067935561700907
Cluster_17,11,0.10867759697314591,0.4167595151831194
Cluster_17,12,0.0037835676274262514,0.977512513631297
Cluster_18,0,0.24236874236874237,0.22320307469992495
Cluster_18,1,0.17277167277167274,0.3888113263544247
Cluster_18,2,0.20085470085470084,0.3151030494192633
Cluster_18,3,0.199023199023199,0.3196280814256547
Cluster_18,4,0.27594627594627597,0.16354869885770584
Cluster_18,5,0.16666666666666663,0.40604089740418425
Cluster_18,6,0.29181929181929184,0.13968802514901774
Cluster_18,7,0.2277167277167277,0.2533093823740725
Cluster_18,8,0.04732102024297667,0.8146874930109869
Cluster_18,9,0.1800976800976801,0.3686979201364704
Cluster_18,10,0.12026862026862026,0.5501478713750526
Cluster_18,11,0.17704517704517705,0.37700347881308105
Cluster_18,12,-0.23565323565323562,0.236688611459884
Cluster_19,0,-0.1117603127882968,0.2610444469363025
Cluster_19,1,-0.0037451126828625405,0.9700504590360944
Cluster_19,2,-0.0910358915784387,0.3604338972534592
Cluster_19,3,-0.0992509774634275,0.3185414346094511
Cluster_19,4,-0.17390062821245003,0.07895682171880804
Cluster_19,5,-0.1244893028159733,0.21024593856706647
Cluster_19,6,-0.19284584632956991,0.050980154140055266
Cluster_19,7,-0.18279664367614112,0.06458109454654479
Cluster_19,8,-0.12115055133330406,0.22283124292837236
Cluster_19,9,-0.08323814962878355,0.4032015474837385
Cluster_19,10,-0.07143170935289725,0.4733606060775135
Cluster_19,11,-0.017067170408118438,0.8641361862561932
Cluster_19,12,0.04182225541448843,0.6748850506568629
Cluster_20,0,-0.3714285714285715,0.016803071785699262
Cluster_20,1,0.0019163763066202095,0.9905123274328824
Cluster_20,2,-0.08466898954703835,0.5986612213193069
Cluster_20,3,-0.04668989547038328,0.7719127759434078
Cluster_20,4,-0.06602787456445994,0.6816900240892849
Cluster_20,5,-0.02282229965156795,0.8873698210406952
Cluster_20,6,-0.2358885017421603,0.13760834655809867
Cluster_20,7,-0.38519163763066216,0.012884260213467932
Cluster_20,8,-0.21986062717770036,0.16720927567621802
Cluster_20,9,-0.2277003484320558,0.15220360412001138
Cluster_20,10,0.08257839721254358,0.6077514378608551
Cluster_20,11,0.11777003484320561,0.4633551534821623
Cluster_20,12,0.11428571428571432,0.4767798463822097
Cluster_21,0,-0.03110698824984539,0.7598682900937676
Cluster_21,1,-0.01803339517625232,0.8593783104770548
Cluster_21,2,-0.09901051329622756,0.3295458714838182
Cluster_21,3,-0.08199134199134199,0.41978037404895907
Cluster_21,4,-0.021459492888064317,0.8330185379834723
Cluster_21,5,0.09882498453927024,0.33045740987338157
Cluster_21,6,0.18066790352504636,0.07352631246053708
Cluster_21,7,0.16238713667285093,0.10829815242674003
Cluster_21,8,0.15752628324056894,0.11942297438208574
Cluster_21,9,0.12042053184910327,0.23511788027787175
Cluster_21,10,0.18536796536796535,0.06622198080824646
Cluster_21,11,0.2357946815089672,0.018795423949237694
Cluster_21,12,-0.2152380952380952,0.032392132065995005
Cluster_22,0,-0.06822897966593525,0.03148350671171986
Cluster_22,1,-0.09602253975666701,0.0024409095100149437
Cluster_22,2,-0.08256721272408843,0.009205350429258666
Cluster_22,3,-0.06619922075744702,0.03690832312851987
Cluster_22,4,-0.07205617833066807,0.023094638354461423
Cluster_22,5,-0.058937878004909856,0.06324625964059147
Cluster_22,6,-0.08284166124134014,0.008974641789382724
Cluster_22,7,-0.07880269517330186,0.012947419633064314
